Date,LogPNL,NAV,Drawdown,ExpCut
2011-06-27,0.006211923599494185,157597.70971299466,-0.029733974286519027,1.0
2011-06-28,0.019892081184096355,160764.0442328508,-0.010240119862777286,1.0
2011-06-29,0.017150539121117525,163545.0136591139,0.0,1.0
2011-06-30,0.0033852885951404232,164099.59891457928,0.0,1.0
2011-07-01,8.453875211422712e-06,164100.9861979747,0.0,1.0
2011-07-05,9.413794110635365e-05,164116.43505409925,0.0,1.0
2011-07-06,-0.010357648169670775,162425.34772316436,-0.010304192449570482,1.0
2011-07-07,0.0018176689473161645,162720.8517168342,-0.008503617183769574,1.0
2011-07-08,-0.005713413697196579,161793.81097922844,-0.014152294217853245,1.0
2011-07-11,-0.0236033345318587,158019.65409632205,-0.03714911889091099,1.0
2011-07-12,-0.0018630250402278392,157725.5335859013,-0.03894126426820832,1.0
2011-07-13,-0.002630155476809115,157311.2359822961,-0.04146567691139458,1.0
2011-07-14,-0.009289663515177793,155856.63437334573,-0.05032890629162612,1.0
2011-07-15,0.004159929557647324,156506.33741594976,-0.046370112997158985,1.0
2011-07-18,-0.012700976712579859,154531.12419017413,-0.058405551282937784,0.5
2011-07-19,0.009497687896339979,156005.80451934924,-0.0494199775426295,1.0
2011-07-20,0.006661601570374209,157048.52226074596,-0.0430664533446844,1.0
2011-07-21,0.014406124128173659,159327.35794983726,-0.02918097205001635,1.0
2011-07-22,0.0021886862110198635,159676.45743647768,-0.02705382685261215,1.0
2011-07-25,-0.019598190479602984,156577.55345111515,-0.045936176961795305,1.0
2011-07-26,-0.005822398703645426,155668.54537856413,-0.05147497673069956,1.0
2011-07-27,-0.02359001985037068,152039.296629555,-0.07358884209593719,0.5
2011-07-28,-0.0011758690841703334,151860.62338982584,-0.07467754012712624,0.5
2011-07-29,-0.0020560079182607716,151548.71749603128,-0.0765780560242193,0.5
2011-08-01,0.0004624147731910888,151618.81206699315,-0.07615095333374977,0.5
2011-08-02,-0.009266858408240264,150220.27204795866,-0.08467258627425012,0.5
2011-08-03,0.00096469893381812,150365.25930752428,-0.08378914483514122,0.5
2011-08-04,-0.03058226129879138,145836.3547044303,-0.11138482470474764,0.5
2011-08-05,-0.005101472691257047,145094.26899789556,-0.11590652727701056,0.5
2011-08-08,-0.02821787797682207,141057.242648146,-0.1405050773760229,0.5
2011-08-09,0.02690452843665092,144903.83458727165,-0.117066888885896,0.5
2011-08-10,-0.014833428908472168,142770.2769665236,-0.13006715677524372,0.5
2011-08-11,0.003170240402763813,143223.61127656605,-0.1273048843075716,0.5
2011-08-12,-0.0038194139882472555,142677.62435099395,-0.13063171093156034,0.5
2011-08-15,0.002246665127727976,142998.53354689767,-0.1286763357992774,0.5
2011-08-16,-0.0006886418159273155,142900.09267622125,-0.1292761591542264,0.5
2011-08-17,-0.007656888367761461,141810.1009167942,-0.13591773505165394,0.5
2011-08-18,-0.019288811058891575,139100.96467833512,-0.15242513869813246,0.5
2011-08-19,-0.007685165105850267,138036.0480696956,-0.15891392581009045,0.5
2011-08-22,-0.005429150873271116,137288.6602152991,-0.1634679356150811,0.5
2011-08-23,0.013330177630744178,139130.99448333797,-0.1522421600403706,0.5
2011-08-24,0.008432605519479885,140309.19193081907,-0.1450631261605967,0.5
2011-08-25,-0.002235675372229462,139995.8565145692,-0.14697235247389429,0.5
2011-08-26,0.0028299341009958567,140392.5966723935,-0.14455492147319327,0.5
2011-08-29,0.009001025548375008,141661.97831989697,-0.13682028083781128,0.5
2011-08-30,-0.0005784096584235954,141580.0633558923,-0.1373194079604403,0.5
2011-08-31,0.00022163127895780121,141611.44540390203,-0.13712818976831098,0.5
2011-09-01,-0.00225129764541121,141292.9944887002,-0.13906858601867345,0.5
2011-09-02,-0.011006659885306913,139746.35782018615,-0.14849260664161856,0.5
2011-09-06,-0.0030002430567996896,139327.71311239636,-0.151043507212008,0.5
2011-09-07,0.007024241965802869,140309.82995688525,-0.1450592385178633,0.5
2011-09-08,-0.0031471572216674737,139868.94699016915,-0.1477456420250487,0.5
2011-09-09,-0.012544220776268045,138125.35888030208,-0.15836973405636967,0.5
2011-09-12,0.00031220127233000383,138168.48852530026,-0.15810693499554462,0.5
2011-09-13,0.000391111331807803,138222.53835592288,-0.15777759667787516,0.5
2011-09-14,0.005728795294846378,139016.65949014638,-0.1529388300183281,0.5
